"기준_년분기_코드","자치구_코드","자치구_코드_명","총_직장_인구_수","남성_직장_인구_수","여성_직장_인구_수","연령대_10_직장_인구_수","연령대_20_직장_인구_수","연령대_30_직장_인구_수","연령대_40_직장_인구_수","연령대_50_직장_인구_수","연령대_60_이상_직장_인구_수","남성연령대_10_직장_인구_수","남성연령대_20_직장_인구_수","남성연령대_30_직장_인구_수","남성연령대_40_직장_인구_수","남성연령대_50_직장_인구_수","남성연령대_60_이상_직장_인구_수","여성연령대_10_직장_인구_수","여성연령대_20_직장_인구_수","여성연령대_30_직장_인구_수","여성연령대_40_직장_인구_수","여성연령대_50_직장_인구_수","여성연령대_60_이상_직장_인구_수"
"20224","11290","성북구","110756","68072","42684","690","14986","26692","30683","26200","11505","275","6799","15041","18605","19468","7884","415","8187","11651","12078","6732","3621"
"20223","11290","성북구","110756","68072","42684","690","14986","26692","30683","26200","11505","275","6799","15041","18605","19468","7884","415","8187","11651","12078","6732","3621"
"20213","11290","성북구","110756","68072","42684","690","14986","26692","30683","26200","11505","275","6799","15041","18605","19468","7884","415","8187","11651","12078","6732","3621"
"20202","11290","성북구","110756","68072","42684","690","14986","26692","30683","26200","11505","275","6799","15041","18605","19468","7884","415","8187","11651","12078","6732","3621"
"20222","11290","성북구","110756","68072","42684","690","14986","26692","30683","26200","11505","275","6799","15041","18605","19468","7884","415","8187","11651","12078","6732","3621"
"20201","11290","성북구","110756","68072","42684","690","14986","26692","30683","26200","11505","275","6799","15041","18605","19468","7884","415","8187","11651","12078","6732","3621"
"20191","11305","강북구","37519","18024","19495","120","4502","7077","9043","9718","7059","65","1570","3318","4241","4910","3920","55","2932","3759","4802","4808","3139"
"20192","11305","강북구","29167","15823","13344","43","2810","5226","6845","7634","6609","29","1067","2632","3586","4409","4100","14","1743","2594","3259","3225","2509"
"20224","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20214","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20193","11305","강북구","29167","15823","13344","43","2810","5226","6845","7634","6609","29","1067","2632","3586","4409","4100","14","1743","2594","3259","3225","2509"
"20194","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20201","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20202","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20203","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20204","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20211","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20212","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20213","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20221","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20222","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20223","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20193","11320","도봉구","37493","21542","15951","61","4136","7204","8771","9518","7803","47","1640","3916","4951","5548","5440","14","2496","3288","3820","3970","2363"
"20191","11320","도봉구","40481","20322","20159","104","4715","7257","9600","10775","8030","52","1582","3320","4481","5589","5298","52","3133","3937","5119","5186","2732"
"20201","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20212","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20224","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20213","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20202","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20221","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20214","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20222","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20203","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20223","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20194","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20204","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20192","11320","도봉구","37493","21542","15951","61","4136","7204","8771","9518","7803","47","1640","3916","4951","5548","5440","14","2496","3288","3820","3970","2363"
"20211","11320","도봉구","36388","21016","15372","60","4188","7346","8875","9363","6556","45","1860","4098","4967","5332","4714","15","2328","3248","3908","4031","1842"
"20191","11350","노원구","70556","32900","37656","203","8932","13437","17137","17981","12866","107","3010","6041","7567","8629","7546","96","5922","7396","9570","9352","5320"
"20233","11200","성동구","80690","48816","31874","341","13434","19462","19460","17201","10792","177","6206","11744","12289","10835","7565","164","7228","7718","7171","6366","3227"
"20223","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20222","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20221","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20213","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20212","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20211","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20204","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20203","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20202","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20201","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20194","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20193","11350","노원구","61062","33315","27747","110","6915","12079","14826","16130","11002","69","2807","6303","7725","9245","7166","41","4108","5776","7101","6885","3836"
"20214","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20224","11350","노원구","56701","30663","26038","159","7072","11724","13938","14921","8887","83","2894","6221","7211","8427","5827","76","4178","5503","6727","6494","3060"
"20192","11350","노원구","61062","33315","27747","110","6915","12079","14826","16130","11002","69","2807","6303","7725","9245","7166","41","4108","5776","7101","6885","3836"
"20191","11380","은평구","53433","24517","28916","172","6881","10875","13581","13608","8316","76","2400","4822","6112","6435","4672","96","4481","6053","7469","7173","3644"
"20192","11380","은평구","50794","26354","24440","108","6020","10516","12556","12574","9020","64","2583","5390","6221","6390","5706","44","3437","5126","6335","6184","3314"
"20223","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20222","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20221","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20213","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20212","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20211","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20204","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20203","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20202","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20201","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20194","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20193","11380","은평구","50794","26354","24440","108","6020","10516","12556","12574","9020","64","2583","5390","6221","6390","5706","44","3437","5126","6335","6184","3314"
"20214","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20224","11380","은평구","48907","25944","22963","93","5949","10342","12099","11927","8497","49","2567","5427","6132","6203","5566","44","3382","4915","5967","5724","2931"
"20223","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20222","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20221","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20213","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20212","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20211","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20204","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20203","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20202","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20201","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20194","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20193","11410","서대문구","63165","37988","25177","133","8434","13745","14167","15339","11347","78","3720","7915","8478","9856","7941","55","4714","5830","5689","5483","3406"
"20214","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20224","11410","서대문구","66165","37280","28885","188","7959","13698","15763","18466","10091","113","3786","8080","8638","10005","6658","75","4173","5618","7125","8461","3433"
"20192","11410","서대문구","63165","37988","25177","133","8434","13745","14167","15339","11347","78","3720","7915","8478","9856","7941","55","4714","5830","5689","5483","3406"
"20191","11410","서대문구","75573","37830","37743","214","13679","20151","18437","15097","7995","107","4775","9670","9507","8563","5208","107","8904","10481","8930","6534","2787"
"20191","11440","마포구","224391","123987","100404","991","46055","61847","53046","37752","24700","426","18767","35091","33299","21054","15350","565","27288","26756","19747","16698","9350"
"20192","11440","마포구","173771","102301","71470","536","29365","45671","41091","37689","19419","285","12531","26103","25792","24739","12851","251","16834","19568","15299","12950","6568"
"20224","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20214","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20193","11440","마포구","173771","102301","71470","536","29365","45671","41091","37689","19419","285","12531","26103","25792","24739","12851","251","16834","19568","15299","12950","6568"
"20194","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20201","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20202","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20203","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20204","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20211","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20212","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20213","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20221","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20222","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20223","11440","마포구","142802","81766","61036","584","27469","38597","34944","26302","14906","302","12168","21958","21461","15845","10032","282","15301","16639","13483","10457","4874"
"20214","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20192","11470","양천구","146577","90275","56302","405","21068","37658","37355","31582","18509","258","9771","23404","23625","19845","13372","147","11297","14254","13730","11737","5137"
"20204","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20193","11470","양천구","146577","90275","56302","405","21068","37658","37355","31582","18509","258","9771","23404","23625","19845","13372","147","11297","14254","13730","11737","5137"
"20211","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20212","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20194","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20213","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20224","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20221","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20201","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20222","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20191","11470","양천구","71559","37020","34539","211","9386","15315","17973","17571","11103","109","3475","7400","9033","9537","7466","102","5911","7915","8940","8034","3637"
"20223","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20202","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20233","11110","종로구","234085","137781","96304","2080","39880","67905","66301","42130","15789","822","17237","37911","42180","29191","10440","1258","22643","29994","24121","12939","5349"
"20203","11470","양천구","139602","84751","54851","457","21615","34803","34435","30039","18253","283","9808","20778","21413","19111","13358","174","11807","14025","13022","10928","4895"
"20193","11500","강서구","149153","88692","60461","253","20982","38123","37326","33279","19190","145","8402","21108","23188","22225","13624","108","12580","17015","14138","11054","5566"
"20214","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20194","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20201","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20202","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20203","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20204","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20211","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20212","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20213","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20221","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20222","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20223","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20231","11305","강북구","28246","15318","12928","60","2897","4960","6667","7410","6252","39","1101","2448","3505","4336","3889","21","1796","2512","3162","3074","2363"
"20191","11500","강서구","201851","110370","91481","738","31195","51560","54163","44664","19531","393","12949","29091","31624","23743","12570","345","18246","22469","22539","20921","6961"
"20192","11500","강서구","149153","88692","60461","253","20982","38123","37326","33279","19190","145","8402","21108","23188","22225","13624","108","12580","17015","14138","11054","5566"
"20224","11500","강서구","149719","84438","65281","289","21945","38461","38053","32914","18057","164","8511","20182","21829","21299","12453","125","13434","18279","16224","11615","5604"
"20221","11530","구로구","139820","88338","51482","447","22190","38200","35038","27403","16542","279","11350","24812","22851","17290","11756","168","10840","13388","12187","10113","4786"
"20193","11530","구로구","147589","93092","54497","420","22465","41576","37410","28525","17193","269","11263","27021","24609","17864","12066","151","11202","14555","12801","10661","5127"
"20222","11530","구로구","139820","88338","51482","447","22190","38200","35038","27403","16542","279","11350","24812","22851","17290","11756","168","10840","13388","12187","10113","4786"
"20202","11530","구로구","139820","88338","51482","447","22190","38200","35038","27403","16542","279","11350","24812","22851","17290","11756","168","10840","13388","12187","10113","4786"
